Moneda,Descripción,Ranking,Capitalización de mercado,Capitalización de mercado - Divisa,Direcciones totales,Direcciones con saldo,Direcciones con saldo cero,Direcciones activas diarias,Nuevas direcciones financiadas,Ratio de direcciones activas,Saldo medio en USD,Saldo medio en USD - Divisa
SLP,Smooth Love Potion,364,101924855.2679828,USD,470566,63596,42,115,29,0.18082898295490282,541.13,USD
VANRY,Vanar Chain,365,100838847.63860784,USD,,,,,,,,
DF,dForce,366,102742411.56597744,USD,9968,1949,6,28,1,1.4366341713699333,36108.11,USD
LOFI,LOFI,367,95082000,USD,,,,,,,,
BB,BounceBit,368,100654690.06849316,USD,,,,,,,,
DKA,dKargo,369,96446913.340193,USD,,,,,,,,
TRB,Tellor,370,98015597.472,USD,38679,9383,14,143,16,1.5240328253223916,10659.48,USD
ERG,Ergo,371,99550334.7864,USD,,,,,,,,
APU,Apu Apustaja,372,98867245.32181513,USD,,,,,,,,
BANANA,Banana Gun,373,99151099.62167223,USD,,,,,,,,
OXT,Orchid,374,96034029.0328683,USD,165226,45243,23,125,28,0.27628583427270514,2117.86,USD
OMNI,Omni Network,375,95731448.971014,USD,,,,,,,,
PUNDIX,Pundi X (New),376,95476471.1272728,USD,,,,,,,,
DENT,Dent,377,95376999.99999994,USD,246714,82304,205,323,34,0.39244751166407466,1120.02,USD
ORBS,Orbs,378,94611187.00330399,USD,43827,7095,14,57,10,0.8033826638477801,32675.65,USD
MLK,MiL.k,379,98264613.32569256,USD,,,,,,,,
JOE,JOE,380,94544783.02092,USD,417486,125242,103,897,45,0.7162134108366203,843.29,USD
SAGA,Saga,381,93958705.86711,USD,,,,,,,,
CTSI,Cartesi,382,94340155.64612593,USD,70366,20581,15,88,14,0.427578834847675,5452.59,USD
AGLD,Adventure Gold,383,93413674.2083,USD,38426,12520,20,94,9,0.7507987220447284,6840.67,USD
PRO,Propy,384,93266000,USD,58028,19022,18,104,27,0.5467353590579329,5151.08,USD
XVS,Venus,385,93046599.97846545,USD,,,,,,,,
FWOG,FWOG,386,85848103.781376,USD,,,,,,,,
AI,Sleepless AI,387,92393675,USD,,,,,,,,
NOS,Nosana,388,94250533.9075,USD,,,,,,,,
OAS,Oasys,389,91689864.85109258,USD,,,,,,,,
LON,Tokenlon Network Token,390,89866263.5822978,USD,165655,33546,4,13,1,0.03875275740773863,3192.55,USD
ANDY,ANDY (ETH),391,97557000,USD,,,,,,,,
ASM,Assemble Protocol,392,88627522.66813,USD,,,,,,,,
NMR,Numeraire,393,90197028.31005804,USD,122654,37379,23,136,15,0.3638406591936649,4097.86,USD
MED,MediBloc,394,89431417.0897308,USD,,,,,,,,
FUEL,Fuel Network,395,89805425.24111867,USD,,,,,,,,
C98,Coin98,396,88033023.73452401,USD,,,,,,,,
MIGGLES,Mr Miggles,397,85272085.70427899,USD,,,,,,,,
CARV,CARV,398,87942046.86697,USD,,,,,,,,
XYM,Symbol,399,87308229.9991023,USD,,,,,,,,
STEEM,Steem,400,86515058.81324825,USD,,,,,,,,
GAME,GameBuild,401,88044455.60591625,USD,,,,,,,,
SFUND,Seedify.fund,402,86746421.06685857,USD,,,,,,,,
ALU,Altura,403,86418090,USD,,,,,,,,
ORAI,Oraichain,404,83392852.62,USD,,,,,,,,
PYR,Vulcan Forged PYR,405,83466668.91263562,USD,,,,,,,,
KNC,Kyber Network Crystal v2,406,83209394.73482999,USD,397089,72947,0,8,0,0.010966866355024881,70.62,USD
BTRST,Braintrust,407,83291533.04601999,USD,12154,3805,1,18,2,0.47306176084099866,21556.9,USD
API3,API3,408,82782748.50642,USD,95873,20816,42,152,31,0.7302075326671791,6372.06,USD
AURORA,Aurora,409,81506466.55428001,USD,,,,,,,,
MOODENG,Moo Deng,410,81380631.09312984,USD,,,,,,,,
USDP,Pax Dollar,411,81299651.54204437,USD,1260339,105708,15,55,7,0.05203012070988005,731.1,USD
CAT,Simon's Cat,412,80052437.20621,USD,,,,,,,,
OMI,ECOMI,413,82017813.88871446,USD,,,,,,,,
MTL,Metal DAO,414,79576345.27605,USD,62869,10167,0,6,1,0.05901445854234287,0,USD
PROM,Prom,415,79278000,USD,,,,,,,,
ARK,Ark,416,79089911.9548,USD,,,,,,,,
COOKIE,Cookie DAO,417,82080366.823,USD,,,,,,,,
ALI,Artificial Liquid Intelligence,418,87218451.93499096,USD,,,,,,,,
GME,GameStop,419,80758260.9885051,USD,,,,,,,,
OX,OX Coin,420,78437235.243264,USD,,,,,,,,
WIN,WINkLink,421,77754189.38021725,USD,,,,,,,,
SCRT,Secret,422,77772716.36625864,USD,,,,,,,,
BADGER,Badger DAO,423,75859836.74681239,USD,86290,28041,11,82,13,0.2924289433329767,2630.23,USD
ZRC,Zircuit,424,80441920.47963999,USD,,,,,,,,
MAGIC,Treasure,425,75181736.67175494,USD,,,,,,,,
ACA,Acala Token,426,74450832.90789999,USD,,,,,,,,
LUMIA,Lumia,427,74520381.07360534,USD,,,,,,,,
VELO,Velodrome Finance,428,74176532.66518596,USD,,,,,,,,
PONKE,Ponke,429,74726253.83926,USD,,,,,,,,
SDEX,SmarDex,430,74279440.73977603,USD,,,,,,,,
MOVR,Moonriver,431,74300660.8938,USD,,,,,,,,
NMT,NetMind Token,432,73975134.992,USD,,,,,,,,
CTK,Shentu,433,72390875.34749,USD,,,,,,,,
BONE,Bone ShibaSwap,434,74074405.87017332,USD,231202,89187,57,358,34,0.4014037920324711,799.39,USD
REQ,Request,435,71291756.94267078,USD,147222,39889,158,255,20,0.6392739853092331,2857.86,USD
ALPH,Alephium,436,73061408.84312904,USD,,,,,,,,
ARDR,Ardor,437,71642947.49135482,USD,,,,,,,,
SYN,Synapse,438,72161040.13313708,USD,36992,,33,,19,1.695146958304853,9046.27,USD
BNX,BinaryX,439,71372922.28419593,USD,,,,,,,,
PORTAL,Portal,440,70042421.46988046,USD,,,,,,,,
RIO,Realio Network,441,71081007.62054457,USD,,,,,,,,
HIGH,Highstreet,442,70314843.59415509,USD,,,,,,,,
ZBCN,Zebec Network,443,67575241.36000958,USD,,,,,,,,
COREUM,Coreum,444,73214382.97296,USD,,,,,,,,
BEL,Bella Protocol,445,70279200,USD,10262,2357,17,60,9,2.545608824777259,30927.17,USD
ZEREBRO,Zerebro,446,65716834.75918653,USD,,,,,,,,
DEGEN,Degen,447,67426876.1414208,USD,,,,,,,,
BNT,Bancor,448,68818069.75947471,USD,193784,35253,19,145,7,0.4113125124102913,1843.13,USD
H2O,H2O DAO,449,67121175,USD,,,,,,,,
USTC,TerraClassicUSD,450,67759321.56550653,USD,,28002,,36,,,,
NTRN,Neutron,451,66876657.32747531,USD,,,,,,,,
TON,Tokamak Network,452,67533375.7416,USD,,,,,,,,
CBK,Cobak Token,453,65393797.21273,USD,,,,,,,,
AUCTION,Bounce Token,454,65238427.663499996,USD,,,,,,,,
CYBER,Cyber,455,64144783.3733,USD,,,,,,,,
DODO,DODO,456,65005608.148055606,USD,53981,14399,19,64,17,0.4444753107854712,5626.75,USD
SOLV,Solv Protocol,457,64260331.8,USD,,,,,,,,
MOBILE,Helium Mobile,458,62757590.400000006,USD,,,,,,,,
HIFI,Hifi Finance,459,63912643.07299288,USD,,,,,,,,
CLV,CLV,460,62560946.317474,USD,,,,,,,,
QKC,QuarkChain,461,62930185.8895235,USD,54724,8982,12,42,5,0.46760187040748163,9964.67,USD
SWARMS,Swarms,462,62394053.46785,USD,,,,,,,,
SPA,Sperax,463,63231699.55016288,USD,,,,,,,,
DUSK,Dusk,464,62301629.911354706,USD,41682,18742,20,75,8,0.4001707395155266,3523.65,USD
RIF,Rootstock Infrastructure Framework,465,61985000,USD,,,,,,,,
TRU,TrueFi,466,62085147.32682871,USD,39936,11914,95,186,22,1.5611885177102567,5025.46,USD
ARPA,ARPA,467,60988608.12629188,USD,45896,17957,84,276,75,1.5370050676616362,0,USD
DAR,Mines of Dalarnia,468,60254910.976612,USD,,,,,,,,
WOLF,Landwolf 0x67,469,67639408.89862126,USD,,,,,,,,
MBX,MARBLEX,470,60869055.77663746,USD,,,,,,,,
SWEAT,Sweat Economy,471,60942714.43821808,USD,,,,,,,,
LOOM,Loom Network,472,60415898.989521965,USD,66927,8630,1,4,2,0.046349942062572425,5655.53,USD
FX,Function X,473,62495444.213860005,USD,,6306,,45,,,,
AITECH,Solidus Ai Tech,474,59943100.029183,USD,,,,,,,,
HFT,Hashflow,475,61328663.552268796,USD,,,,,,,,
NCT,PolySwarm,476,59432870.149422,USD,,,,,,,,
CXT,Covalent X Token,477,59559180.795,USD,,,,,,,,
STG,Stargate Finance,478,59311269.05032706,USD,146545,37230,60,196,33,0.526457158205748,7158.72,USD
RARE,SuperRare,479,59588303.2683472,USD,38349,10772,12,64,6,0.5941329372447085,6460.18,USD
NAKA,Nakamoto Games,480,57818345.42327506,USD,,,,,,,,
SEND,Suilend,481,58839193.5157,USD,,,,,,,,
SYS,Syscoin,482,58767071.209355816,USD,,,,,,,,
STMX,StormX,483,58259979.26180974,USD,82021,39637,3,9,3,0.022706057471554356,1120.58,USD
SPEC,Spectral,484,59047903.5208,USD,,,,,,,,
BUZZ,Hive AI,485,59232130.5584,USD,,,,,,,,
AVA,AVA,486,57935656.43952,USD,,,,,,,,
TORN,Tornado Cash,487,58668627.695747696,USD,38679,8947,13,66,7,0.7376774337766849,11329.49,USD
GUSD,Gemini Dollar,488,57736969.46,USD,130319,19989,21,57,11,0.285156836259943,2899.13,USD
DIA,DIA,489,57983072.388,USD,68909,21545,20,89,16,0.41308888373172437,4796.7,USD
LIT,Litentry,490,57419201.26743,USD,,,,,,,,
SLERF,SLERF,491,58084738.6175,USD,,,,,,,,
TKO,Toko Token,492,57232170.638327576,USD,,,,,,,,
NFP,NFPrompt,493,57455382.009256035,USD,,,,,,,,
WNXM,Wrapped NXM,494,58170824.143912196,USD,28139,3693,6,26,5,0.7040346601678852,14189.25,USD
MPL,Maple,495,59466086.01117746,USD,36383,8943,28,78,12,0.872190540087219,12157.11,USD
OGN,Origin Protocol,496,56070130.00766101,USD,142859,45046,30,109,20,0.24197487013275318,2517.58,USD
EUL,Euler,497,56889715.48754491,USD,10493,2282,8,45,5,1.971954425942156,37519.16,USD
DAO,DAO Maker,498,56754064.620227985,USD,,,,,,,,
XPLA,Xpla,499,58288310.48183867,USD,,,,,,,,
AZERO,Aleph Zero,500,54262838.6334,USD,,,,,,,,
RSS3,RSS3,501,55194684.8637,USD,,,,,,,,
HIPPO,sudeng,502,55667000,USD,,,,,,,,
PHB,Phoenix,503,54451474.35968,USD,,,,,,,,
PRQ,PARSIQ,504,56742879.32008,USD,,,,,,,,
SHDW,Shadow Token,505,51579767.21179451,USD,,,,,,,,
CATI,Catizen,506,53936071.99999999,USD,,,,,,,,
A8,Ancient8,507,53854159.698231,USD,,,,,,,,
MERL,Merlin Chain,508,52464825,USD,,,,,,,,
QI,BENQI,509,51931496.5098964,USD,109971,34262,40,616,44,1.7979102212363551,2208.87,USD
STRK,Strike,510,51858858.96683843,USD,,,,,,,,
MBL,MovieBloc,511,50808375.8676522,USD,278554,24050,34,58,5,0.24116424116424115,3430.2,USD
FORTH,Ampleforth Governance Token,512,50932526.44473378,USD,87292,23426,12,63,9,0.26893195594638436,613.93,USD
RAD,Radworks,513,50678556.862743825,USD,27471,6679,133,284,59,4.252133552927085,13336.62,USD
NKN,NKN,514,50868644.638665505,USD,53365,17571,13,42,12,0.2390302202492744,2634.58,USD
ALICE,MyNeighborAlice,515,50591358.28502,USD,29442,8539,14,48,12,0.5621267127298278,8040.92,USD
MAV,Maverick Protocol,516,49967416.99430021,USD,,,,,,,,
PIPPIN,pippin,517,49134815.891155,USD,,,,,,,,
META,Metadium,518,49268364.1824,USD,,,,,,,,
LMWR,LimeWire,519,48874558.594219945,USD,,,,,,,,
BFC,Bifrost,520,48022066.74844801,USD,,,,,,,,
RACA,RACA,521,48734252.93466201,USD,,,,,,,,
THE,Thena,522,48862484.50794546,USD,,,,,,,,
COQ,Coq Inu,523,48519720.6,USD,,,,,,,,
PUFFER,Puffer,524,47700506.80125,USD,,,,,,,,
MODE,Mode,525,48510000.17463601,USD,,,,,,,,
LEVER,LeverFi,526,47432683.82838285,USD,,,,,,,,
MYRIA,Myria,527,47434787.027236804,USD,,,,,,,,
ACE,Fusionist,528,47106647.21034,USD,,,,,,,,
PNG,Pangolin,529,47548748.445539996,USD,120745,36003,18,222,15,0.6166152820598283,2817.53,USD
LYX,LUKSO,530,46097004.588264,USD,,,,,,,,
DOGE,Department Of Government Efficiency,531,55532546.98428494,USD,,,,,,,,
MC,Merit Circle,532,46704764.769999996,USD,,,,,,,,
HOOK,Hooked Protocol,533,46863757.05575244,USD,,,,,,,,
ATA,Automata Network,534,46190439.30585965,USD,,,,,,,,
DEP,DEAPcoin,535,45693479.02740931,USD,,,,,,,,
GODS,Gods Unchained,536,45958132.143028885,USD,55021,,12,,10,0.3410245247424176,3950.07,USD
RARI,RARI,537,45603622.61349529,USD,95535,22988,16,99,15,0.4306594745084392,1859.09,USD
TLOS,Telos,538,45808721.1373106,USD,,,,,,,,
ALPHA,Stella,539,45571806,USD,42044,9739,26,97,17,0.9959954820823492,4856.18,USD
F,SynFutures,540,45393778.725624,USD,,,,,,,,
X,X empire,541,44385630,USD,,,,,,,,
UQC,Uquid Coin,542,44887000,USD,19890,4181,0,0,0,0,49118.28,USD
MBOX,MOBOX,543,44856661.72416,USD,,,,,,,,
ELA,Elastos,544,46136269.462500006,USD,,,,,,,,
GEAR,Gearbox Protocol,545,44403000,USD,,,,,,,,
ICE,Ice Open Network,546,44212056.16070759,USD,,,,,,,,
GNS,Gains Network,547,44535362.77912004,USD,,,,,,,,
UTK,xMoney,548,43631717.289215,USD,59098,19188,0,0,0,0,3015.1,USD
ETN,Electroneum,549,43734108.34133174,USD,8,5,0,0,0,0,946.08,USD
AQT,Alpha Quark Token,550,44278482.811799996,USD,,,,,,,,
LAT,PlatON,551,43973393.01272985,USD,,,,,,,,
FCT2,FirmaChain,552,41114418.246994555,USD,,,,,,,,
CTXC,Cortex,553,42603527.90027812,USD,36843,20558,0,0,0,0,2669.53,USD
NYM,NYM,554,42803688.55985579,USD,,,,,,,,
BAKE,BakeryToken,555,42602060.64356976,USD,,,,,,,,
TLM,Alien Worlds,556,42584616.65423028,USD,17016,5957,9,27,6,0.45324827933523587,4280.32,USD
MAPO,MAP Protocol,557,42623778.967874646,USD,,,,,,,,
ZCX,Unizen,558,42712142.23264921,USD,,,,,,,,
AERGO,Aergo,559,41934809.62249045,USD,18594,4660,0,0,0,0,9631.71,USD
RDNT,Radiant Capital,560,41634631.282152005,USD,246359,,49,,26,0.3865902441936832,410.95,USD
MONKY,Wise Monkey,561,38346900,USD,,,,,,,,
SD,Stader,562,41488878.66973843,USD,,,,,,,,
TT,ThunderCore,563,41151254.778250396,USD,,,,,,,,
TNSR,Tensor,564,40925000,USD,,,,,,,,
PRCL,Parcl,565,40941344.96187,USD,,,,,,,,
KUJI,Kujira,566,38213515.064145,USD,,,,,,,,
CHILLGUY,Just a chill guy,567,38289358.45491987,USD,,,,,,,,
SHIRO,Shiro Neko,568,41090000,USD,,,,,,,,
DEGO,Dego Finance,569,39161901.281194106,USD,,,,,,,,
FORT,Forta,570,39314474.3613,USD,,,,,,,,
ORDER,Orderly Network,571,40557380.12883,USD,,,,,,,,
NAVX,NAVI Protocol,572,38568363.44852668,USD,,,,,,,,
AVA,AVA (Travala),573,38553018.66294379,USD,,,,,,,,
VR,Victoria VR,574,37317978.71831863,USD,,,,,,,,
GRS,Groestlcoin,575,37642308.68183466,USD,,,,,,,,
REZ,Renzo,576,38251884.34951414,USD,,,,,,,,
GTC,Gitcoin,577,38890724.29194223,USD,,86701,,162,,,,
GFI,Goldfinch,578,39556978.07374,USD,,,,,,,,
DNT,district0x,579,38900000,USD,189717,38864,11,48,7,0.12350761630300536,1167.58,USD
EURT,Tether EURt,580,37038673.416537,USD,,,,,,,,
LISTA,Lista DAO,581,37109482.34311494,USD,,,,,,,,
WOJAK,Wojak,582,37618055.938721366,USD,67999,,39,,33,1.001712773135413,1549.64,USD
RETARDIO,RETARDIO,583,36320338.51089,USD,,,,,,,,
REI,REI Network,584,36856200,USD,,,,,,,,
SUNDOG,SUNDOG,585,37494038.000146,USD,,,,,,,,
ATR,Artrade,586,36342485.08781933,USD,,,,,,,,
BAN,Comedian,587,36611603.543567,USD,,,,,,,,
BOUNTY,BOUNTY,588,36503829.928247996,USD,,,,,,,,
ATLAS,Star Atlas,589,35840963.30055789,USD,,,,,,,,
MOC,Moss Coin,590,37077369.163776,USD,,,,,,,,
MLN,Enzyme,591,35836283.65587177,USD,28916,7032,6,40,6,0.5688282138794084,5883.06,USD
CUSD,Celo Dollar,592,35498701.12099433,USD,,,,,,,,
LADYS,Milady Meme Coin,593,35160710.8263289,USD,67356,,36,,27,0.549471810548311,1672.29,USD
VENOM,Venom,594,35341996.87126,USD,,,,,,,,
DBR,DeBridge,595,35206564.534567,USD,,,,,,,,
WEN,Wen,596,35073046.18625248,USD,,,,,,,,
LTO,LTO Network,597,34945479.7165503,USD,,,,,,,,
GST,Green Satoshi Token (SOL),598,34185576.1089856,USD,,,,,,,,
OMG,OMG Network,599,35054337.291370936,USD,1425893,636390,38,130,38,0.020427725137101463,55.73,USD
NS,Sui Name Service,600,34307754.51883945,USD,,,,,,,,
CCD,Concordium,601,33637955.87194005,USD,,,,,,,,
ERN,Ethernity Chain,602,34176874.132175125,USD,,,,,,,,
PERP,Perpetual Protocol,603,33699381.295531005,USD,51627,12599,27,107,15,0.8492737518850703,5811.16,USD
NGL,Entangle,604,32499413.188398,USD,,,,,,,,
SN,SpaceN,605,32828205,USD,,,,,,,,
GHX,GamerCoin,606,32048480.302425858,USD,34297,11125,48,150,26,1.348314606741573,3493.31,USD
FUN,FUNToken,607,32771408.378220953,USD,,92387,,48,,,,
UOS,Ultra,608,32345564.060536336,USD,75556,25251,33,111,9,0.43958655102768207,3208.51,USD
POKT,Pocket Network,609,32032817.92854,USD,,,,,,,,
QRL,Quantum Resistant Ledger,610,31299333.5907,USD,,,,,,,,
POLS,Polkastarter,611,32816562.05311321,USD,,,,,,,,
MOODENG,MOO DENG,612,32652460.704264447,USD,,,,,,,,
IDEX,IDEX,613,31666488.35105664,USD,34677,15527,6,38,6,0.24473497778064018,2464.54,USD
ALCX,Alchemix,614,31788261.765537288,USD,45850,12653,10,60,6,0.4741958428831107,2921.57,USD
GEL,Gelato,615,31931447.681103457,USD,11374,3408,6,23,4,0.6748826291079812,15351.51,USD
APX,APX,616,31290623.410534106,USD,,,,,,,,
BRISE,Bitgert,617,31285625.54,USD,,,,,,,,
ORN,Orion,618,31790163.405,USD,9427,1984,0,0,0,0,57371.27,USD
ARRR,Pirate Chain,619,31798408.099107336,USD,,,,,,,,
KARRAT,KARRAT,620,31558679.62472,USD,,,,,,,,
TOKEN,TokenFi,621,30809609.679301,USD,,,,,,,,
TRUMP,MAGA,622,32114550.82144,USD,,,,,,,,
VADER,VaderAI by Virtuals,623,32754853.876206003,USD,,,,,,,,
GHST,Aavegotchi,624,30784144.26654251,USD,39276,6958,7,37,3,0.5317620005748779,4559.71,USD
BGSC,BugsCoin,625,30616784.999999996,USD,,,,,,,,
MOB,MobileCoin,626,30367062.21462,USD,,,,,,,,
AHT,AhaToken,627,30162673.71114091,USD,,,,,,,,
BOBO,BOBO,628,31142048.482854176,USD,,,,,,,,
EWT,Energy Web Token,629,30806175.9155,USD,,,,,,,,
XION,XION,630,29692277.1461,USD,,,,,,,,
SBD,Steem Dollars,631,29790902.205173198,USD,,,,,,,,
ALCH,Alchemist AI,632,29544299.999999996,USD,,,,,,,,
LOCUS,Locus Chain,633,30085924.71668247,USD,,,,,,,,
SWELL,Swell Network,634,29318325.017642222,USD,,,,,,,,
POLIS,Star Atlas DAO,635,29257804.525114533,USD,,,,,,,,
DEXT,DEXTools,636,29628808.533383194,USD,,,,,,,,
AMPL,Ampleforth,637,28858361.89284,USD,122673,97143,13,125,10,0.12867628135840978,6269.38,USD
ZKL,zkLink,638,29621788.705110002,USD,,,,,,,,
BOBA,Boba Network,639,29128064.631279204,USD,49142,11937,15,77,16,0.6450531959453799,7168.83,USD
DIMO,DIMO,640,28529182.771372057,USD,,,,,,,,
WAN,Wanchain,641,28779006.347102538,USD,15225,13898,0,0,0,0,2471.83,USD
VRTX,Vertex Protocol,642,28646754.530498978,USD,,,,,,,,
ALEX,ALEX Lab,643,28500172.314081598,USD,,,,,,,,
NULS,NULS,644,28723231.32272764,USD,16198,2405,0,0,0,0,4392.11,USD
HAI,Hacken Token,645,28793790.340272002,USD,,,,,,,,
SIGMA,SIGMA,646,28311055.6200667,USD,,,,,,,,
REKT,Rekt,647,28760623.617536657,USD,,,,,,,,
NUM,Numbers Protocol,648,28214471.506596,USD,,,,,,,,
VIC,Viction,649,27620972.5785,USD,,,,,,,,
VRA,Verasity,650,28036679.6493446,USD,26105,7817,0,0,0,0,10072.67,USD
GRND,SuperWalk,651,29693383.238881346,USD,,,,,,,,
FLM,Flamingo,652,27518667.704794206,USD,,,,,,,,
FIS,StaFi,653,27273127.87634,USD,,,,,,,,
KMD,Komodo,654,27217965.975199997,USD,,,,,,,,
DATA,Streamr,655,27131533.815692,USD,15155,4943,8,33,5,0.6676107626947198,0,USD
WXT,Wirex Token,656,26769000,USD,,,,,,,,
SIDUS,SIDUS,657,27031705.10760621,USD,,,,,,,,
CORE,cVault.finance,658,26603600,USD,20482,3229,0,2,1,0.06193868070610096,15027.52,USD
MDT,Measurable Data Token,659,26499269.476887498,USD,44021,26660,5,47,7,0.17629407351837958,1505.15,USD
XPRT,Persistence One,660,26267851.853074,USD,,,,,,,,
MICHI,michi (SOL),661,25775913.38114664,USD,,,,,,,,
COS,Contentos,662,26336786.9503572,USD,16705,4098,3,11,1,0.26842362127867253,8735.81,USD
TARA,Taraxa,663,26423915.54789,USD,,,,,,,,
QUACK,RichQUACK.com,664,24999385.200120807,USD,,,,,,,,
OL,Open Loot,665,24778716.21590793,USD,,,,,,,,
TPT,TokenPocket,666,25569283.073880002,USD,,,,,,,,
ROOT,The Root Network,667,26210600.44974,USD,,,,,,,,
BETA,Beta Finance,668,25492698.473557,USD,,,,,,,,
TET,Tectum,669,25037556.144098997,USD,,,,,,,,
SLND,Solend,670,24861674.783600736,USD,,,,,,,,
DADDY,Daddy Tate,671,24171728.738821365,USD,,,,,,,,
NPT,Neopin,672,24496411.514650002,USD,,,,,,,,
DIONE,Dione Protocol,673,24312535.65941418,USD,,,,,,,,
SUKU,Suku,674,24999790.32043828,USD,,,,,,,,
AIDOGE,ArbDoge AI,675,23685877.126757827,USD,,,,,,,,
WHY,WHY,676,23969400,USD,,,,,,,,
BOSON,Boson Protocol,677,24409996.354945302,USD,,,,,,,,
EVER,Everscale,678,23927543.481581997,USD,,,,,,,,
MATH,MATH,679,23738052.5314232,USD,,,,,,,,
MASA,Masa,680,23894107.288407,USD,,,,,,,,
KIN,Kin,681,23541107.31445488,USD,,,,,,,,
OORT,OORT,682,23547533.632822778,USD,,,,,,,,
BSW,Biswap,683,23545876.685355,USD,,,,,,,,
LOKA,League of Kingdoms Arena,684,23530589.79070829,USD,,,,,,,,
FARM,Harvest Finance,685,23395345.002065964,USD,50910,14662,1,34,4,0.23189196562542627,1570.59,USD
KLV,Klever,686,23315600.879631564,USD,,,,,,,,
CHESS,Tranchess,687,23302256.69766,USD,,,,,,,,
NXRA,Nexera,688,22982680.596526008,USD,,,,,,,,
VOXEL,Voxies,689,23318814.93847322,USD,,,,,,,,
HTR,Hathor,690,21969686.91394078,USD,,,,,,,,
KEKIUS,Kekius Maximus,691,22915000,USD,,,,,,,,
KISHU,Kishu Inu,692,22533347.337487143,USD,310250,310216,0,118,30,0.038038012223740876,116.41,USD
LOOKS,LooksRare,693,22750672.944096003,USD,268822,70613,28,110,14,0.15577868097942307,355.4,USD
LUNA,Luna by Virtuals,694,22030000,USD,,,,,,,,
ALEPH,Aleph.im,695,22744037.136840697,USD,,,,,,,,
MYRO,Myro,696,21810163.922685,USD,,,,,,,,
RBN,Ribbon Finance,697,21864425.127996054,USD,26743,4600,4,35,5,0.7608695652173914,54219,USD
MNGO,Mango,698,21678873.648497242,USD,,,,,,,,
ELIZA,Eliza (elizawakesup),699,23207873.709289208,USD,,,,,,,,
GAFI,GameFi.org,700,22295093.7033636,USD,,,,,,,,
GFAL,Games for a living,701,21650481.488506753,USD,,,,,,,,
HOPR,HOPR,702,21237387.511624,USD,,,,,,,,
ASD,ASD,703,21246708.442388,USD,,,,,,,,
CLANKER,tokenbot,704,22765000,USD,,,,,,,,
REN,Ren,705,21293733.875551097,USD,255711,61567,24,110,20,0.17866714311238163,368.16,USD
KOMA,Koma Inu,706,20918745.564408075,USD,,,,,,,,
ADX,AdEx,707,20579855.86720336,USD,52887,11773,0,0,0,0,1585.64,USD
SIX,SIX,708,20690402.158603564,USD,,,,,,,,
CEEK,CEEK VR,709,20009195.329782024,USD,40619,23023,3,16,1,0.06949572166963472,1112.8,USD
PROPC,Propchain,710,20604624.398826282,USD,,,,,,,,
HEGIC,Hegic,711,21025262.011924423,USD,30461,7131,8,34,2,0.4767914738465853,12416.73,USD
BLUE,Bluefin,712,20238334.00992,USD,,,,,,,,
LINA,Linear Finance,713,20269780.75509319,USD,,,,,,,,
BLZ,Bluzelle,714,19772343.76671141,USD,79399,,9,,14,0.2893204585729268,737.73,USD
SHPING,SHPING,715,20002564.935608,USD,,,,,,,,
LEASH,Doge Killer,716,20262646.052475877,USD,104237,27070,21,152,20,0.5615072035463613,760.55,USD
NEIRO,Neiro Ethereum,717,19578000,USD,,,,,,,,
QUICK,Quickswap[New],718,19846956.361323345,USD,,4947,,10,,,,
GROK,GROK,719,19901426.377963796,USD,,,,,,,,
SLF,Self Chain,720,19773450,USD,,,,,,,,
FIO,FIO Protocol,721,19326880.481868073,USD,,,,,,,,
OPUL,Opulous,722,19194658.29772631,USD,,,,,,,,
BIFI,Beefy,723,19211200,USD,,,,,,,,
PORK,PepeFork,724,18502911.90759493,USD,,,,,,,,
COMBO,COMBO,725,19010605.69488,USD,,13965,,0,,,,
FIRO,Firo,726,18740431.72326652,USD,,,,,,,,
GEMS,Gems,727,18832362.019093,USD,,,,,,,,
PROS,Prosper,728,18374160.31065,USD,,,,,,,,
FOX,Shapeshift FOX Token,729,18687611.572938003,USD,,,,,,,,
MANEKI,MANEKI,730,18354478.0399311,USD,,,,,,,,
CHEQ,cheqd,731,18293697.921494998,USD,,,,,,,,
GOG,Guild of Guardians,732,18075543.382249057,USD,,,,,,,,
SUSD,sUSD,733,17909714.163418297,USD,14163,8173,0,0,0,0,803.17,USD
PIVX,PIVX,734,18009813.36851083,USD,,,,,,,,
WING,Wing Finance,735,17854061.27995934,USD,,,,,,,,
VVAIFU,Dasha,736,17091515.029375322,USD,,,,,,,,
UFT,UniLend,737,17524598.328067295,USD,21720,5453,4,21,0,0.38510911424903727,3720.06,USD
SANTOS,Santos FC Fan Token,738,17611942.213846974,USD,,,,,,,,
QTCON,Quiztok,739,17077793.578317393,USD,,,,,,,,
SAMO,Samoyedcoin,740,16974955.3420272,USD,,,,,,,,
DLC,Diamond Launch,741,16611381.67952,USD,,,,,,,,
VIDT,VIDT DAO,742,16570137.000535998,USD,,6063,,0,,,,
PROPS,Propbase,743,15821038.886297148,USD,,,,,,,,
BURGER,BurgerCities,744,16435304.282432105,USD,,,,,,,,
VLX,Velas,745,16372205.764814515,USD,,,,,,,,
MAJOR,Major,746,16281563.21512,USD,,,,,,,,
PSG,Paris Saint-Germain Fan Token,747,16270785.371700002,USD,,,,,,,,
ALPACA,Alpaca Finance,748,16147385.540360533,USD,,,,,,,,
